Rname,RSet,mips,Mips定义,定义文件,Format文件,InstrItinClass文件,ISA文件
mul,m,mul,def MUL：,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
mulh,m,muh,def MUH:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
mulhsu,m,muhu,def MUHU:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
mulhu,m,muhu,def MUHU:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
mulw,m,dmul,def DMUL：,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
rem,m,mod,def MOD:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
remu,m,modu,def MODU:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
remuw,m,dmodu,def DMODU:,Mips64R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
remw,m,dmod,def DMOD:,Mips64R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
add,std,add,def ADD:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
addi,std,addi,def ADDi:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
addiw,std,daddi,def DADDi:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
addw,std,dadd,def DADD:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
and,std,and,def AND:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
andi,std,andi,def ANDi:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
auipc,std,auipc,def AUIPC:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
beq,std,beq,def BEQ: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
bge,std,bgez,def BGEZ: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
bgeu,std,bgez,def BGEZ: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
blt,std,bltz,def BLTZ: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
bltu,std,bltz,def BLTZ: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
bne,std,bne,def BNE: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
Ebreak,std,break,def BREAK: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
ecall,std,syscall,def SYSCALL:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fence,std,synci,def SYNCI:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fence.i,std,sync,def SYNC:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
jal,std,jal,def JAL: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
jalr,std,jalr,def JALR: ,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
lb,std,lb,def LB:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
